,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
95,2021,MI,FT,Other,89294,Other,50,Other,L
96,2021,EN,PT,Other,12000,Other,100,USA,S
97,2021,MI,FT,Other,450000,USA,100,USA,L
98,2021,EN,FT,Other,70000,USA,100,USA,M
99,2021,MI,FT,Other,95746,Other,100,USA,S
100,2021,MI,FT,Data Analyst,75000,USA,0,USA,L
101,2021,SE,FT,Data Engineer,150000,USA,100,USA,L
102,2021,MI,FT,Other,36259,Other,50,USA,L
103,2021,MI,FT,Data Analyst,62000,USA,0,USA,L
104,2021,MI,FT,Data Scientist,73000,USA,0,USA,L
105,2021,MI,FT,Data Analyst,51519,Other,50,Other,L
106,2021,MI,FT,Other,187442,Other,100,Other,L
107,2021,SE,FT,Data Engineer,115000,USA,100,USA,S
108,2021,SE,FT,Data Engineer,150000,USA,100,USA,M
109,2021,EN,FT,Data Engineer,30428,Other,100,Other,L
110,2021,SE,FT,Machine Learning Engineer,94564,Other,50,Other,L
111,2021,SE,FT,Other,113476,Other,100,Other,M
112,2021,SE,FT,Other,103160,Other,100,Other,S
113,2021,EN,PT,Other,12000,Other,100,USA,M
114,2021,MI,FT,Data Engineer,45391,Other,100,Other,L
115,2021,EN,FT,Other,225000,USA,100,USA,L
116,2021,MI,FT,Data Scientist,50000,Other,100,Other,L
117,2021,MI,FT,Other,40189,Other,100,Other,M
118,2021,EN,FT,Data Analyst,90000,USA,100,USA,S
119,2021,MI,FT,Data Engineer,200000,USA,100,USA,L
120,2021,MI,FT,Other,60000,Other,50,Other,M
121,2021,SE,FT,Other,200000,USA,100,USA,M
122,2021,EN,FT,Data Analyst,50000,USA,100,USA,M
123,2021,EN,FT,Other,110037,Other,0,Other,L
124,2021,EN,PT,Data Analyst,10354,Other,50,Other,M
125,2021,MI,FT,Other,151000,USA,100,USA,L
126,2021,SE,FT,Other,120000,USA,50,USA,S
127,2021,MI,FT,Data Scientist,9466,Other,0,Other,S
128,2021,EN,FT,Machine Learning Engineer,20000,Other,100,Other,S
129,2021,SE,FT,Other,40570,Other,50,Other,L
130,2021,EN,FT,Other,100000,Other,50,Other,S
131,2021,EN,FT,Data Scientist,49646,Other,50,Other,M
132,2021,MI,FT,Other,38400,Other,100,USA,M
133,2021,SE,FT,Other,24000,Other,100,Other,M
134,2021,EN,FT,Data Scientist,100000,USA,0,USA,S
135,2021,MI,FT,Data Analyst,90000,USA,100,USA,M
136,2021,MI,FT,Other,63711,Other,50,Other,S
137,2021,MI,FT,Other,77364,Other,50,Other,S
138,2021,SE,FT,Other,220000,USA,0,USA,L
139,2021,EN,FT,Data Scientist,80000,USA,100,USA,M
140,2021,MI,FT,Data Analyst,135000,USA,100,USA,L
141,2021,SE,FT,Other,240000,USA,0,USA,L
142,2021,SE,FT,Other,150000,USA,0,USA,L
143,2021,MI,FT,Data Scientist,82500,USA,100,USA,S
144,2021,MI,FT,Data Engineer,100000,USA,100,USA,L
145,2021,SE,FT,Machine Learning Engineer,82744,Other,50,Other,M
146,2021,MI,FT,Other,62649,Other,50,Other,M
147,2021,MI,FT,Data Engineer,90000,USA,100,USA,L
148,2021,SE,FT,Other,153000,USA,100,USA,L
149,2021,SE,FT,Other,160000,Other,100,USA,S
150,2021,SE,FT,Other,168000,Other,0,Other,S
151,2021,MI,FT,Data Scientist,150000,USA,100,USA,M
152,2021,MI,FT,Data Scientist,75774,Other,100,Other,L
153,2021,EN,FT,Data Scientist,13400,Other,100,Other,L
154,2021,SE,FT,Other,144000,USA,100,USA,L
155,2021,SE,FT,Other,127221,Other,50,Other,L
156,2021,MI,FT,Data Scientist,119059,Other,100,Other,M
157,2021,MI,FT,Other,423000,USA,50,USA,L
158,2021,SE,FT,Other,120000,USA,100,USA,M
159,2021,EN,FT,Machine Learning Engineer,125000,USA,100,USA,S
160,2021,EX,FT,Other,230000,Other,50,Other,L
161,2021,EX,FT,Other,85000,Other,0,Other,M
162,2021,MI,FT,Data Engineer,28369,Other,50,Other,L
163,2021,EN,FT,Other,63831,Other,50,Other,L
164,2021,EX,FT,Other,130026,Other,50,Other,M
165,2021,SE,FT,Other,165000,USA,100,USA,L
166,2021,EN,FT,Data Engineer,80000,USA,100,USA,L
167,2021,EX,FT,Other,250000,USA,0,USA,L
168,2021,EN,FT,Other,55000,USA,50,USA,S
169,2021,MI,FT,Other,150000,USA,100,USA,L
170,2021,MI,FT,Other,170000,USA,100,USA,L
171,2021,MI,FT,Data Engineer,82528,Other,100,Other,L
172,2021,EN,FT,Data Analyst,60000,USA,100,USA,S
173,2021,SE,FT,Other,235000,USA,100,USA,L
174,2021,SE,FT,Other,60757,Other,50,Other,L
175,2021,SE,FT,Other,174000,USA,100,USA,L
176,2021,MI,FT,Data Scientist,2859,Other,0,Other,S
177,2021,MI,FT,Data Scientist,40038,Other,100,Other,L
178,2021,EN,FT,Machine Learning Engineer,81000,USA,50,USA,S
179,2021,MI,FT,Data Scientist,5679,Other,100,USA,S
180,2021,MI,FT,Other,22611,Other,0,Other,L
181,2021,MI,FT,Data Scientist,90734,Other,50,Other,L
182,2021,MI,FT,Data Engineer,26005,Other,0,USA,L
183,2021,SE,FT,Other,61896,Other,50,Other,L
184,2021,MI,FL,Other,12000,Other,50,Other,M
185,2021,MI,FT,Data Engineer,4000,Other,100,Other,M
186,2021,SE,FT,Other,50000,Other,100,Other,M
187,2021,EX,FT,Other,69741,Other,100,Other,S
188,2021,SE,FT,Data Engineer,76833,Other,50,Other,S
189,2021,MI,FT,Machine Learning Engineer,74000,Other,50,Other,S
190,2021,SE,FT,Other,152000,USA,100,Other,L
191,2021,EN,FT,Machine Learning Engineer,21844,Other,50,Other,M
192,2021,MI,FT,Other,18000,Other,0,Other,S
193,2021,SE,FT,Other,174000,USA,100,USA,L
194,2021,SE,FT,Other,96113,Other,50,Other,L
195,2021,MI,FT,Data Scientist,147000,USA,50,USA,L
196,2021,EN,FT,Other,9272,Other,100,Other,S
197,2021,SE,FT,Machine Learning Engineer,24342,Other,100,Other,L
198,2021,SE,FT,Other,54094,Other,50,USA,L
199,2021,EN,FT,Other,90000,USA,100,USA,S
200,2021,MI,FT,Data Scientist,61467,Other,50,Other,M
201,2021,SE,FT,Other,195000,USA,100,USA,M
202,2021,MI,FT,Data Scientist,37825,Other,100,Other,L
203,2021,SE,FT,Other,50000,Other,100,USA,S
204,2021,MI,FT,Data Scientist,160000,USA,100,USA,L
205,2021,MI,FT,Data Scientist,12901,Other,0,Other,S
206,2021,SE,FT,Machine Learning Engineer,200000,USA,100,USA,L
207,2021,SE,FT,Data Engineer,165000,USA,0,USA,M
208,2021,MI,FL,Data Engineer,20000,Other,0,USA,L
209,2021,SE,FT,Other,120000,USA,0,USA,L
210,2021,MI,FT,Machine Learning Engineer,24823,Other,50,Other,L
211,2021,MI,FT,Other,56738,Other,50,Other,S
212,2021,MI,FT,Data Engineer,66022,Other,50,Other,S
213,2021,EN,FT,Other,5882,Other,0,Other,L
214,2021,EN,FT,Machine Learning Engineer,24823,Other,50,Other,M
215,2021,SE,FT,Other,185000,USA,100,USA,L
216,2021,EN,PT,Other,28609,Other,50,Other,S
217,2021,MI,FT,Data Scientist,90734,Other,50,Other,L
218,2021,MI,FT,Machine Learning Engineer,88654,Other,100,Other,M
219,2021,SE,FT,Other,140000,USA,100,USA,L
220,2021,MI,FT,Machine Learning Engineer,46597,Other,100,Other,L
221,2021,MI,FT,Data Scientist,116914,Other,50,Other,L
222,2021,MI,FT,Data Scientist,33808,Other,0,Other,M
223,2021,MI,FT,Data Scientist,56256,Other,50,Other,L
224,2021,SE,FT,Other,225000,USA,100,Other,L
225,2021,EX,CT,Other,416000,USA,100,USA,S
226,2021,SE,FT,Data Scientist,87738,Other,100,Other,S
227,2021,MI,FT,Data Scientist,88654,Other,50,Other,L
228,2021,SE,FT,Data Scientist,135000,USA,0,USA,L
229,2021,SE,FT,Data Analyst,71786,Other,100,Other,M
230,2021,EN,FT,Other,16228,Other,100,Other,L
231,2021,SE,FT,Other,256000,USA,100,USA,S
232,2021,SE,FT,Other,200000,USA,100,USA,L
233,2021,SE,FT,Data Analyst,200000,USA,100,USA,L
234,2021,MI,FT,Other,180000,USA,100,USA,L
235,2021,MI,FT,Other,110000,USA,0,USA,S
236,2021,MI,FT,Other,63810,Other,100,Other,M
237,2021,MI,FT,Data Scientist,46809,Other,100,Other,M
238,2021,EN,FT,Data Scientist,4000,Other,0,Other,M
239,2021,EN,FT,Data Engineer,21637,Other,50,Other,M
240,2021,SE,FT,Data Scientist,103691,Other,100,Other,L
241,2021,MI,FT,Data Analyst,80000,USA,100,USA,L
242,2021,MI,FT,Data Engineer,110000,USA,100,USA,L
243,2021,SE,FT,Data Scientist,165000,USA,100,USA,L
244,2021,EN,FT,Other,18053,Other,100,Other,S
245,2021,MI,FT,Data Engineer,72212,Other,50,Other,L
246,2021,EN,FT,Data Scientist,36643,Other,50,Other,L
247,2021,MI,FT,Data Engineer,12103,Other,0,Other,M
248,2021,SE,FT,Data Engineer,96282,Other,50,Other,L
249,2021,SE,FT,Other,170000,USA,100,USA,M
250,2021,MI,FT,Data Scientist,115000,USA,50,USA,L
251,2021,EN,FT,Data Scientist,90000,USA,100,USA,S
252,2021,EX,FT,Other,600000,USA,100,USA,L
253,2021,EN,FT,Data Scientist,28399,Other,100,Other,M
254,2021,MI,FT,Data Analyst,93000,USA,100,USA,L
255,2021,SE,FT,Other,99703,Other,50,Other,M
256,2021,MI,FT,Data Engineer,200000,USA,100,USA,L
257,2021,SE,FT,Other,173762,Other,100,Other,M
258,2021,SE,FT,Machine Learning Engineer,185000,USA,50,USA,L
259,2021,EX,FT,Other,141846,Other,0,Other,L
260,2021,MI,FT,Data Scientist,130000,USA,50,USA,L
261,2021,SE,FT,Data Analyst,63831,Other,50,Other,L
262,2021,MI,FT,Data Scientist,16904,Other,100,Other,S
263,2021,SE,FT,Machine Learning Engineer,66265,Other,0,Other,L
264,2021,MI,FT,Data Scientist,25532,Other,100,Other,S
265,2021,SE,FT,Other,160000,Other,50,USA,S
266,2021,MI,FT,Data Engineer,93150,USA,0,USA,M
267,2021,MI,FT,Data Engineer,111775,USA,0,USA,M
268,2021,MI,FT,Data Engineer,28016,Other,100,Other,M
269,2021,EN,FT,Data Engineer,65013,Other,50,Other,M
270,2021,EN,FT,Data Engineer,72500,USA,100,USA,L
271,2021,SE,FT,Other,18907,Other,0,Other,M
272,2021,EN,FT,Other,76833,Other,0,Other,L
273,2021,EN,FT,Machine Learning Engineer,85000,Other,100,Other,S
274,2021,SE,FT,Data Scientist,77684,Other,50,Other,M
275,2021,EN,FT,Data Scientist,100000,USA,100,USA,M
276,2021,EN,FT,Data Scientist,58000,USA,50,USA,L
277,2021,SE,FT,Other,55000,Other,100,Other,L
278,2021,SE,FT,Data Scientist,20171,Other,50,Other,L
279,2021,EN,FT,Other,59102,Other,100,Other,L
280,2021,MI,FT,Data Engineer,112000,USA,100,USA,L
281,2021,EN,FT,Other,100000,Other,0,Other,L
282,2021,MI,PT,Data Engineer,69741,Other,100,Other,L
283,2021,SE,CT,Other,105000,USA,100,USA,M
284,2021,MI,FT,Other,69999,Other,50,Other,L
285,2021,SE,FT,Other,94665,Other,50,Other,L
286,2021,SE,FT,Other,102839,Other,100,Other,L
287,2021,MI,FT,Data Scientist,109000,USA,50,USA,L
288,2021,MI,FT,Machine Learning Engineer,51064,Other,50,Other,L
289,2022,SE,FT,Data Engineer,135000,USA,100,USA,M
290,2022,SE,FT,Data Analyst,155000,USA,100,USA,M
291,2022,SE,FT,Data Analyst,120600,USA,100,USA,M
292,2022,MI,FT,Data Scientist,130000,USA,0,USA,M
293,2022,MI,FT,Data Scientist,90000,USA,0,USA,M
294,2022,MI,FT,Data Engineer,170000,USA,100,USA,M
295,2022,MI,FT,Data Engineer,150000,USA,100,USA,M
296,2022,SE,FT,Data Analyst,102100,USA,100,USA,M
297,2022,SE,FT,Data Analyst,84900,USA,100,USA,M
298,2022,SE,FT,Data Scientist,136620,USA,100,USA,M
299,2022,SE,FT,Data Scientist,99360,USA,100,USA,M
300,2022,SE,FT,Data Scientist,117789,Other,0,Other,M
301,2022,SE,FT,Data Scientist,104702,Other,0,Other,M
302,2022,SE,FT,Data Scientist,146000,USA,100,USA,M
303,2022,SE,FT,Data Scientist,123000,USA,100,USA,M
304,2022,EN,FT,Data Engineer,52351,Other,100,Other,M
305,2022,SE,FT,Data Analyst,99000,USA,0,USA,M
306,2022,SE,FT,Data Analyst,116000,USA,0,USA,M
307,2022,MI,FT,Data Analyst,106260,USA,0,USA,M
308,2022,MI,FT,Data Analyst,126500,USA,0,USA,M
309,2022,EX,FT,Data Engineer,242000,USA,100,USA,M
310,2022,EX,FT,Data Engineer,200000,USA,100,USA,M
311,2022,MI,FT,Data Scientist,65438,Other,0,Other,M
312,2022,MI,FT,Data Scientist,39263,Other,0,Other,M
313,2022,MI,FT,Data Engineer,78526,Other,0,Other,M
314,2022,MI,FT,Data Engineer,52351,Other,0,Other,M
315,2022,SE,FT,Data Scientist,165220,USA,100,USA,M
316,2022,EN,FT,Data Engineer,45807,Other,100,Other,M
317,2022,SE,FT,Data Scientist,120160,USA,100,USA,M
318,2022,SE,FT,Data Analyst,90320,USA,100,USA,M
319,2022,SE,FT,Data Engineer,181940,USA,0,USA,M
320,2022,SE,FT,Data Engineer,132320,USA,0,USA,M
321,2022,SE,FT,Data Engineer,220110,USA,0,USA,M
322,2022,SE,FT,Data Engineer,160080,USA,0,USA,M
323,2022,SE,FT,Data Scientist,180000,USA,0,USA,L
324,2022,SE,FT,Data Scientist,120000,USA,0,USA,L
325,2022,SE,FT,Data Analyst,124190,USA,100,USA,M
326,2022,EX,FT,Data Analyst,130000,USA,100,USA,M
327,2022,EX,FT,Data Analyst,110000,USA,100,USA,M
328,2022,SE,FT,Data Analyst,170000,USA,100,USA,M
329,2022,MI,FT,Data Analyst,115500,USA,100,USA,M
330,2022,SE,FT,Data Analyst,112900,USA,100,USA,M
331,2022,SE,FT,Data Analyst,90320,USA,100,USA,M
332,2022,SE,FT,Data Analyst,112900,USA,100,USA,M
333,2022,SE,FT,Data Analyst,90320,USA,100,USA,M
334,2022,SE,FT,Data Engineer,165400,USA,100,USA,M
335,2022,SE,FT,Data Engineer,132320,USA,100,USA,M
336,2022,MI,FT,Data Analyst,167000,USA,100,USA,M
337,2022,SE,FT,Data Engineer,243900,USA,100,USA,M
338,2022,SE,FT,Data Analyst,136600,USA,100,USA,M
339,2022,SE,FT,Data Analyst,109280,USA,100,USA,M
340,2022,SE,FT,Data Engineer,128875,USA,100,USA,M
341,2022,SE,FT,Data Engineer,93700,USA,100,USA,M
342,2022,EX,FT,Other,224000,USA,100,USA,M
343,2022,EX,FT,Other,167875,USA,100,USA,M
344,2022,EX,FT,Other,175000,USA,100,USA,M
345,2022,SE,FT,Data Engineer,156600,USA,100,USA,M
346,2022,SE,FT,Data Engineer,108800,USA,0,USA,M
347,2022,SE,FT,Data Scientist,95550,USA,0,USA,M
348,2022,SE,FT,Data Engineer,113000,USA,0,USA,L
349,2022,SE,FT,Data Analyst,135000,USA,100,USA,M
350,2022,SE,FT,Other,161342,USA,100,USA,M
351,2022,SE,FT,Other,137141,USA,100,USA,M
352,2022,SE,FT,Data Scientist,167000,USA,100,USA,M
353,2022,SE,FT,Data Scientist,123000,USA,100,USA,M
354,2022,SE,FT,Data Engineer,78526,Other,0,Other,M
355,2022,SE,FT,Data Engineer,65438,Other,0,Other,M
356,2022,SE,FT,Data Scientist,150000,USA,0,USA,M
357,2022,SE,FT,Data Scientist,211500,USA,100,USA,M
358,2022,SE,FT,Other,192400,Other,100,Other,M
359,2022,SE,FT,Other,90700,Other,100,Other,M
360,2022,SE,FT,Data Analyst,130000,Other,100,Other,M
361,2022,SE,FT,Data Analyst,61300,Other,100,Other,M
362,2022,SE,FT,Data Analyst,130000,Other,100,Other,M
363,2022,SE,FT,Data Analyst,61300,Other,100,Other,M
364,2022,SE,FT,Data Engineer,160000,USA,0,USA,L
365,2022,SE,FT,Data Scientist,138600,USA,100,USA,M
366,2022,SE,FT,Data Engineer,136000,USA,0,USA,M
367,2022,MI,FT,Data Analyst,58000,USA,0,USA,S
368,2022,EX,FT,Other,135000,USA,100,USA,M
369,2022,SE,FT,Data Scientist,170000,USA,100,USA,M
370,2022,SE,FT,Data Scientist,123000,USA,100,USA,M
371,2022,SE,FT,Machine Learning Engineer,189650,USA,0,USA,M
372,2022,SE,FT,Machine Learning Engineer,164996,USA,0,USA,M
373,2022,MI,FT,Other,54957,Other,0,Other,M
374,2022,MI,FT,Other,54957,Other,0,Other,M
375,2022,EX,FT,Other,118187,Other,100,Other,S
376,2022,SE,FT,Data Analyst,132000,USA,0,USA,M
377,2022,SE,FT,Data Engineer,165400,USA,100,USA,M
378,2022,SE,FT,Other,208775,USA,100,USA,M
379,2022,SE,FT,Other,147800,USA,100,USA,M
380,2022,SE,FT,Data Engineer,136994,USA,100,USA,M
381,2022,SE,FT,Data Engineer,101570,USA,100,USA,M
382,2022,SE,FT,Data Analyst,128875,USA,100,USA,M
383,2022,SE,FT,Data Analyst,93700,USA,100,USA,M
384,2022,EX,FT,Other,79039,Other,50,Other,L
385,2022,SE,FT,Data Engineer,132320,USA,100,USA,M
386,2022,EN,FT,Machine Learning Engineer,37300,Other,100,Other,L
387,2022,SE,FT,Data Analyst,164000,USA,0,USA,M
388,2022,SE,FT,Data Engineer,155000,USA,100,USA,M
389,2022,MI,FT,Machine Learning Engineer,124333,Other,0,Other,M
390,2022,MI,FT,Machine Learning Engineer,98158,Other,0,Other,M
391,2022,MI,FT,Other,120000,USA,0,USA,M
392,2022,SE,FT,Data Analyst,112900,USA,100,USA,M
393,2022,SE,FT,Data Analyst,90320,USA,100,USA,M
394,2022,SE,FT,Other,145000,USA,100,USA,M
395,2022,SE,FT,Other,105400,USA,100,USA,M
396,2022,MI,FT,Machine Learning Engineer,87932,Other,100,Other,M
397,2022,MI,FT,Data Engineer,117789,Other,0,Other,M
398,2022,SE,FT,Data Scientist,215300,USA,100,USA,L
399,2022,SE,FT,Data Scientist,158200,USA,100,USA,L
400,2022,SE,FT,Data Engineer,209100,USA,100,USA,L
401,2022,SE,FT,Data Engineer,154600,USA,100,USA,L
402,2022,SE,FT,Data Analyst,115934,USA,0,USA,M
403,2022,SE,FT,Data Analyst,81666,USA,0,USA,M
404,2022,SE,FT,Data Engineer,175000,USA,100,USA,M
405,2022,MI,FT,Data Engineer,98158,Other,0,Other,M
406,2022,MI,FT,Data Analyst,58000,USA,0,USA,S
407,2022,SE,FT,Data Engineer,183600,USA,100,USA,L
408,2022,MI,FT,Data Analyst,52351,Other,100,Other,M
409,2022,SE,FT,Data Scientist,180000,USA,100,USA,M
410,2022,MI,FT,Data Scientist,71982,Other,0,Other,M
411,2022,MI,FT,Data Scientist,45807,Other,0,Other,M
412,2022,MI,FT,Data Engineer,65949,Other,100,Other,M
413,2022,MI,FT,Data Engineer,49461,Other,100,Other,M
414,2022,MI,FT,Data Engineer,78526,Other,100,Other,M
415,2022,MI,FT,Data Engineer,58894,Other,100,Other,M
416,2022,SE,FT,Data Scientist,260000,USA,100,USA,M
417,2022,SE,FT,Other,60000,Other,100,Other,L
418,2022,MI,FT,Data Engineer,63900,USA,0,USA,M
419,2022,MI,FT,Other,160000,USA,100,USA,L
420,2022,MI,FT,Other,112300,USA,100,USA,L
421,2022,MI,FT,Other,241000,USA,100,USA,M
422,2022,MI,FT,Other,159000,USA,100,USA,M
423,2022,SE,FT,Data Scientist,180000,USA,0,USA,M
424,2022,SE,FT,Data Scientist,80000,USA,0,USA,M
425,2022,MI,FT,Data Engineer,82900,USA,0,USA,M
426,2022,SE,FT,Data Engineer,100800,USA,100,USA,L
427,2022,MI,FT,Data Engineer,49461,Other,100,Other,M
428,2022,SE,FT,Data Scientist,140400,USA,0,USA,L
429,2022,MI,FT,Data Analyst,39263,Other,100,Other,M
430,2022,MI,FT,Data Analyst,43966,Other,100,Other,M
431,2022,MI,FT,Data Analyst,32974,Other,100,Other,M
432,2022,MI,FT,Data Engineer,87932,Other,100,Other,M
433,2022,MI,FT,Data Engineer,76940,Other,100,Other,M
434,2022,MI,FT,Data Engineer,104702,Other,100,Other,M
435,2022,MI,FT,Data Engineer,91614,Other,100,Other,M
436,2022,MI,FT,Data Engineer,65949,Other,100,Other,M
437,2022,MI,FT,Data Engineer,87932,Other,100,Other,M
438,2022,SE,FT,Machine Learning Engineer,189650,USA,0,USA,M
439,2022,SE,FT,Machine Learning Engineer,164996,USA,0,USA,M
440,2022,MI,FT,Data Analyst,43966,Other,100,Other,M
441,2022,MI,FT,Data Analyst,32974,Other,100,Other,M
442,2022,MI,FT,Data Engineer,98158,Other,100,Other,M
443,2022,MI,FT,Data Engineer,78526,Other,100,Other,M
444,2022,SE,FT,Data Scientist,215300,USA,0,USA,L
445,2022,MI,FT,Data Engineer,76940,Other,100,Other,M
446,2022,SE,FT,Data Engineer,209100,USA,100,USA,L
447,2022,SE,FT,Data Engineer,154600,USA,100,USA,L
448,2022,SE,FT,Data Engineer,180000,USA,100,USA,M
449,2022,EN,FT,Other,21983,Other,100,Other,L
450,2022,SE,FT,Data Engineer,80000,USA,100,USA,M
451,2022,MI,FT,Other,78791,Other,100,Other,M
452,2022,EX,FT,Other,196979,Other,50,Other,L
453,2022,MI,FT,Machine Learning Engineer,120000,USA,100,USA,S
454,2022,EN,FT,Other,125000,USA,0,USA,M
455,2022,MI,FT,Other,37236,USA,50,USA,L
456,2022,SE,FT,Data Engineer,105000,USA,100,USA,M
457,2022,SE,FT,Other,87932,Other,0,Other,M
458,2022,MI,FT,Other,18442,Other,100,Other,M
459,2022,MI,FT,Data Scientist,31615,Other,100,Other,L
460,2022,MI,FT,Other,58255,Other,50,Other,L
461,2022,EN,FT,Other,100000,USA,50,USA,L
462,2022,MI,PT,Data Engineer,54957,Other,50,Other,L
463,2022,EN,FT,Data Scientist,18442,Other,100,Other,M
464,2022,SE,FT,Other,162674,Other,100,Other,M
